year	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	
	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	
	total	Arctic	N_Atl	N_Pac	Equ_N	Equ	Equ_S	SO_Atl	SO_Pac	SO_Ind	
1814	-1.3215e-01	7.5375e-02	9.8878e-02	1.7581e-01	2.1993e-01	-7.3117e-01	2.6098e-01	-3.7659e-03	-1.4997e-01	-7.5102e-02	
1819	-1.3277e-01	7.4334e-02	9.9500e-02	1.7733e-01	2.1889e-01	-7.3819e-01	2.6045e-01	-1.9118e-03	-1.4983e-01	-7.2688e-02	
1815	-1.2525e-01	7.4449e-02	9.8994e-02	1.7620e-01	2.2061e-01	-7.2929e-01	2.6282e-01	-3.3122e-03	-1.4901e-01	-7.5737e-02	
1820	-1.5133e-01	7.5391e-02	9.9870e-02	1.7748e-01	2.1806e-01	-7.4029e-01	2.4082e-01	-1.9137e-03	-1.4836e-01	-7.2289e-02	
1843	1.0243e-01	7.8167e-02	1.0762e-01	1.9097e-01	2.4667e-01	-6.8740e-01	3.2405e-01	8.3113e-03	-1.2664e-01	-4.8637e-02	
1842	9.7941e-02	7.8770e-02	1.0693e-01	1.9070e-01	2.4489e-01	-6.9049e-01	3.3159e-01	7.7611e-03	-1.2905e-01	-5.0741e-02	
1816	-1.2161e-01	7.5385e-02	9.9190e-02	1.7627e-01	2.1873e-01	-7.2842e-01	2.6474e-01	-2.6931e-03	-1.4912e-01	-7.5655e-02	
1817	-1.1861e-01	7.4276e-02	9.9332e-02	1.7646e-01	2.1904e-01	-7.3159e-01	2.7021e-01	-2.1003e-03	-1.4986e-01	-7.4420e-02	
1818	-1.3321e-01	7.5194e-02	9.9425e-02	1.7700e-01	2.1739e-01	-7.3606e-01	2.6200e-01	-1.9124e-03	-1.5051e-01	-7.3091e-02	
1831	-6.5294e-02	7.5470e-02	1.0243e-01	1.8265e-01	2.2532e-01	-7.1957e-01	2.6844e-01	1.8268e-03	-1.3999e-01	-6.1882e-02	
